time,increase
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,495
2020-01-26,77
2020-01-27,46
2020-01-28,80
2020-01-29,892
2020-01-30,315
2020-01-31,356
2020-02-01,378
2020-02-02,576
2020-02-03,894
2020-02-04,4242
2020-02-05,3341.800839
2020-02-06,2840.341483
2020-02-07,3756.21442
2020-02-08,2609.480949
2020-02-09,3633.214955
2020-02-10,2936.848755
2020-02-11,2089.098599
2020-02-12,3436
2020-02-13,2997
2020-02-14,1923
2020-02-15,1548
2020-02-16,1690
2020-02-17,1600
2020-02-18,1660
2020-02-19,615
2020-02-20,319
2020-02-21,314
2020-02-22,541
2020-02-23,406
2020-02-24,464
2020-02-25,370
2020-02-26,383
2020-02-27,313
2020-02-28,420
2020-02-29,565
2020-03-01,193
2020-03-02,111
2020-03-03,114
2020-03-04,131
2020-03-05,126
2020-03-06,74
2020-03-07,41
2020-03-08,36
2020-03-09,17
2020-03-10,13
2020-03-11,8
2020-03-12,5
2020-03-13,4
2020-03-14,4
2020-03-15,4
2020-03-16,1
2020-03-17,1
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,0
2020-04-02,0
2020-04-03,1
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
